time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-27 00:00:00+00:00,4,4,10,8
2022-12-28 00:00:00+00:00,6,6,33,19
2022-12-29 00:00:00+00:00,10,7,7,7
2022-12-30 00:00:00+00:00,6,5,12,11
2022-12-31 00:00:00+00:00,6,6,5,5
2023-01-01 00:00:00+00:00,3,3,0,0
2023-01-02 00:00:00+00:00,4,4,11,9
2023-01-03 00:00:00+00:00,10,7,20,18
2023-01-04 00:00:00+00:00,7,7,20,16
2023-01-05 00:00:00+00:00,6,6,20,14
2023-01-06 00:00:00+00:00,5,5,24,14
2023-01-07 00:00:00+00:00,3,3,5,5
2023-01-08 00:00:00+00:00,4,4,5,4
2023-01-09 00:00:00+00:00,5,5,39,30
2023-01-10 00:00:00+00:00,9,9,32,23
2023-01-11 00:00:00+00:00,3,3,18,13
2023-01-12 00:00:00+00:00,6,6,24,16
2023-01-13 00:00:00+00:00,4,4,5,5
2023-01-14 00:00:00+00:00,5,5,1,1
2023-01-15 00:00:00+00:00,4,4,1,1
2023-01-16 00:00:00+00:00,9,9,6,6
2023-01-17 00:00:00+00:00,4,4,25,17
2023-01-18 00:00:00+00:00,5,5,8,7
2023-01-19 00:00:00+00:00,3,3,23,17
2023-01-20 00:00:00+00:00,4,4,4,4
2023-01-21 00:00:00+00:00,3,3,4,3
2023-01-22 00:00:00+00:00,3,3,5,4
2023-01-23 00:00:00+00:00,404,5,18,13
2023-01-24 00:00:00+00:00,9,7,13,10
2023-01-25 00:00:00+00:00,7,5,6,6
2023-01-26 00:00:00+00:00,8,6,7,7
2023-01-27 00:00:00+00:00,8,6,4,4
2023-01-28 00:00:00+00:00,5,4,2,2
2023-01-29 00:00:00+00:00,7,5,2,2
2023-01-30 00:00:00+00:00,7,6,21,15
2023-01-31 00:00:00+00:00,6,4,13,8
2023-02-01 00:00:00+00:00,17,16,15,13
2023-02-02 00:00:00+00:00,12,10,16,13
2023-02-03 00:00:00+00:00,16,11,23,15
2023-02-04 00:00:00+00:00,7,5,4,4
2023-02-05 00:00:00+00:00,3,3,1,1
2023-02-06 00:00:00+00:00,5,5,13,10
2023-02-07 00:00:00+00:00,14,6,10,9
2023-02-08 00:00:00+00:00,6,4,10,7
2023-02-09 00:00:00+00:00,4,4,12,11
2023-02-10 00:00:00+00:00,4,4,5,5
2023-02-11 00:00:00+00:00,5,5,7,4
2023-02-12 00:00:00+00:00,18,6,4,4
2023-02-13 00:00:00+00:00,5,5,24,7
2023-02-14 00:00:00+00:00,4,4,10,8
2023-02-15 00:00:00+00:00,7,6,4,3
2023-02-16 00:00:00+00:00,4,4,12,7
2023-02-17 00:00:00+00:00,5,5,18,9
2023-02-18 00:00:00+00:00,2,2,0,0
